"filename", "language", "JSON", "Luau", "comment", "blank", "total"
"c:\Users\jrvor\Documents\NewProtoype\default.project.json", "JSON", 29, 0, 0, 3, 32
"c:\Users\jrvor\Documents\NewProtoype\src\client\Loader\Engine.luau", "Luau", 0, 68, 3, 12, 83
"c:\Users\jrvor\Documents\NewProtoype\src\client\Loader\init.client.luau", "Luau", 0, 6, 2, 3, 11
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\BackpackTest.luau", "Luau", 0, 298, 10, 40, 348
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\DialogHooks\DialogHook_appraiseThis.luau", "Luau", 0, 27, 0, 2, 29
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\DialogHooks\DialogHook_sellAllLoot.luau", "Luau", 0, 28, 1, 2, 31
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\DialogHooks\DialogHook_sellThis.luau", "Luau", 0, 36, 0, 2, 38
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\DialogHooks\init.luau", "Luau", 0, 40, 2, 10, 52
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\HUD.luau", "Luau", 0, 79, 5, 17, 101
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\NPCHandler.luau", "Luau", 0, 66, 5, 21, 92
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\RefiningKit.luau", "Luau", 0, 363, 16, 80, 459
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\SpeedManager.lua", "Luau", 0, 77, 4, 19, 100
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\Tools\Pickaxe.luau", "Luau", 0, 472, 31, 76, 579
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\Typewriter.luau", "Luau", 0, 167, 14, 33, 214
"c:\Users\jrvor\Documents\NewProtoype\src\client\modules\UIEffects.luau", "Luau", 0, 121, 7, 35, 163
"c:\Users\jrvor\Documents\NewProtoype\src\client\services\DialogService.luau", "Luau", 0, 233, 15, 55, 303
"c:\Users\jrvor\Documents\NewProtoype\src\client\services\InventoryService.luau", "Luau", 0, 84, 3, 18, 105
"c:\Users\jrvor\Documents\NewProtoype\src\client\services\NotificationService.luau", "Luau", 0, 70, 1, 17, 88
"c:\Users\jrvor\Documents\NewProtoype\src\client\services\PlayerService.luau", "Luau", 0, 33, 7, 10, 50
"c:\Users\jrvor\Documents\NewProtoype\src\client\services\PromptService.luau", "Luau", 0, 118, 1, 23, 142
"c:\Users\jrvor\Documents\NewProtoype\src\server\Loader\Engine.lua", "Luau", 0, 66, 3, 12, 81
"c:\Users\jrvor\Documents\NewProtoype\src\server\Loader\init.server.luau", "Luau", 0, 6, 2, 3, 11
"c:\Users\jrvor\Documents\NewProtoype\src\server\modules\LootRNG.luau", "Luau", 0, 290, 85, 44, 419
"c:\Users\jrvor\Documents\NewProtoype\src\server\modules\LuckManager.luau", "Luau", 0, 2, 0, 2, 4
"c:\Users\jrvor\Documents\NewProtoype\src\server\services\InventoryService.luau", "Luau", 0, 504, 26, 86, 616
"c:\Users\jrvor\Documents\NewProtoype\src\server\services\PlayerService.luau", "Luau", 0, 104, 7, 28, 139
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\ClientSettings.lua", "Luau", 0, 16, 0, 3, 19
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\DefaultData.luau", "Luau", 0, 26, 0, 5, 31
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\DialogData.luau", "Luau", 0, 195, 1, 19, 215
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\Icons.lua", "Luau", 0, 5, 0, 2, 7
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\InputData.luau", "Luau", 0, 63, 2, 12, 77
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\Items\Kits.lua", "Luau", 0, 28, 0, 6, 34
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\Items\Loot.lua", "Luau", 0, 340, 0, 31, 371
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\Items\Pickaxes.lua", "Luau", 0, 15, 0, 2, 17
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\LootTraits.lua", "Luau", 0, 87, 0, 5, 92
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\MineZones.lua", "Luau", 0, 17, 4, 1, 22
"c:\Users\jrvor\Documents\NewProtoype\src\shared\GameData\Rarity.lua", "Luau", 0, 27, 0, 1, 28
"c:\Users\jrvor\Documents\NewProtoype\src\shared\Hello.luau", "Luau", 0, 3, 0, 0, 3
"c:\Users\jrvor\Documents\NewProtoype\src\shared\utils\QuickTween.luau", "Luau", 0, 9, 0, 4, 13
"c:\Users\jrvor\Documents\NewProtoype\src\shared\utils\RefineReplicate.luau", "Luau", 0, 53, 0, 12, 65
"c:\Users\jrvor\Documents\NewProtoype\src\shared\utils\Sound.luau", "Luau", 0, 141, 0, 27, 168
"Total", "-", 29, 4383, 257, 783, 5452
